# Reciprocal collectivity of fluctuations=  120.2
# kappa=  0.077
# Frequency reported in internal units: 0.156 ps^(-1), kT/h/ is 2.47 internal units (om-2)= 0.164
#mode pc_therm cumul om-2(harm)  RMSD  Coll_cart Coll_MW Coll_tors Max_dev_atom
    0  0.1437 0.144    79.74     0.16  0.481 0.265 0.114  0.406
    1  0.1364 0.280    75.67    0.156  0.427 0.221 0.178  0.410
    2  0.0504 0.331    27.99   0.0946  0.407 0.279 0.081  0.274
    3  0.0254 0.356    14.09   0.0671  0.390 0.350 0.135  0.213
    4  0.0207 0.377    11.47   0.0606  0.374 0.393 0.275  0.195
    5  0.0152 0.392    8.414   0.0519  0.412 0.398 0.212  0.115
    6  0.0138 0.406    7.631   0.0494  0.119 0.137 0.176  0.367
    7  0.0122 0.418    6.769   0.0465  0.218 0.215 0.196  0.316
    8  0.0111 0.429    6.173   0.0444  0.251 0.210 0.211  0.248
    9  0.0104 0.439    5.754   0.0429  0.156 0.157 0.183  0.231
   10  0.0100 0.449    5.528    0.042  0.204 0.194 0.117  0.362
   11  0.0087 0.458    4.847   0.0394  0.144 0.181 0.120  0.335
   12  0.0084 0.466    4.672   0.0387  0.069 0.066 0.056  0.513
   13  0.0077 0.474    4.284    0.037  0.230 0.234 0.158  0.282
   14  0.0073 0.481    4.042    0.036  0.158 0.210 0.101  0.374
   15  0.0069 0.488    3.814   0.0349  0.100 0.124 0.097  0.292
   16  0.0063 0.495    3.513   0.0335  0.250 0.272 0.192  0.205
   17  0.0062 0.501    3.467   0.0333  0.100 0.131 0.077  0.249
   18  0.0060 0.507    3.337   0.0327  0.174 0.219 0.140  0.191
   19  0.0057 0.513    3.183   0.0319  0.161 0.222 0.096  0.290
   20  0.0054 0.518    2.973   0.0308  0.171 0.183 0.219  0.147
   21  0.0053 0.523    2.954   0.0307  0.268 0.306 0.214  0.152
   22  0.0052 0.528      2.9   0.0305  0.294 0.281 0.236  0.146
   23  0.0051 0.534    2.841   0.0301  0.093 0.117 0.091  0.235
   24  0.0051 0.539    2.814     0.03  0.251 0.286 0.184  0.140
   25  0.0050 0.544    2.775   0.0298  0.209 0.227 0.154  0.149
   26  0.0048 0.548    2.665   0.0292  0.266 0.272 0.246  0.203
   27  0.0046 0.553    2.555   0.0286  0.279 0.277 0.267  0.171
   28  0.0045 0.558    2.512   0.0283  0.098 0.131 0.079  0.381
